P[MeV/fm**3],E[MeV/fm**3]
6.303*10**(-25),4.385*10**(-12)
6.303*10**(-24),4.407*10**(-12)
6.303*10**(-23),4.547*10**(-12)
7.551*10**(-22),6.472*10**(-12)
8.737*10**(-21),9.150*10**(-12)
1.061*10**(-19),2.516*10**(-11)
3.632*10**(-18),1.183*10**(-10)
1.186*10**(-16),6.416*10**(-10)
6.081*10**(-15),5.825*10**(-9)
3.100*10**(-14),1.463*10**(-8)
1.517*10**(-13),3.675*10**(-8)
7.183*10**(-13),9.228*10**(-8)
3.286*10**(-12),2.319*10**(-7)
1.447*10**(-11),5.825*10**(-7)
6.088*10**(-11),1.463*10**(-6)
2.441*10**(-10),3.676*10**(-6)
3.282*10**(-10),4.627*10**(-6)
8.955*10**(-10),9.233*10**(-6)
2.392*10**(-9),1.842*10**(-5)
6.278*10**(-9),3.676*10**(-5)
1.625*10**(-8),7.337*10**(-5)
4.166*10**(-8),1.464*10**(-4)
5.453*10**(-8),1.843*10**(-4)
1.017*10**(-7),2.922*10**(-4)
1.890*10**(-7),4.631*10**(-4)
2.577*10**(-7),5.830*10**(-4)
3.143*10**(-7),7.342*10**(-4)
4.281*10**(-7),9.245*10**(-4)
7.938*10**(-7),1.465*10**(-3)
1.470*10**(-6),2.323*10**(-3)
2.722*10**(-6),3.683*10**(-3)
3.533*10**(-6),4.637*10**(-3)
4.807*10**(-6),5.836*10**(-3)
6.540*10**(-6),7.353*10**(-3)
8.893*10**(-6),9.256*10**(-3)
1.209*10**(-5),1.166*10**(-2)
1.562*10**(-5),1.468*10**(-2)
2.124*10**(-5),1.848*10**(-2)
2.888*10**(-5),2.328*10**(-2)
3.713*10**(-5),2.931*10**(-2)
5.048*10**(-5),3.692*10**(-2)
6.865*10**(-5),4.649*10**(-2)
9.330*10**(-5),5.852*10**(-2)
1.269*10**(-4),7.376*10**(-2)
1.621*10**(-4),9.284*10**(-2)
1.805*10**(-4),1.029*10**(-1)
2.053*10**(-4),1.169*10**(-1)
2.791*10**(-4),1.473*10**(-1)
3.630*10**(-4),1.855*10**(-1)
4.871*10**(-4),2.398*10**(-1)
4.924*10**(-4),2.488*10**(-1)
5.212*10**(-4),2.917*10**(-1)
5.678*10**(-4),3.688*10**(-1)
6.135*10**(-4),4.443*10**(-1)
6.759*10**(-4),5.427*10**(-1)
7.601*10**(-4),6.673*10**(-1)
8.731*10**(-4),8.207*10**(-1)
5.799*10**(-3),3.762
1.166*10**(-2),7.53
2.085*10**(-2),11.3
3.216*10**(-2),15.08
4.515*10**(-2),18.86
5.961*10**(-2),22.64
7.544*10**(-2),26.42
9.260*10**(-2),30.21
1.110*10**(-1),34
1.308*10**(-1),37.79
1.518*10**(-1),41.58
1.742*10**(-1),45.38
1.980*10**(-1),49.18
2.231*10**(-1),52.98
2.497*10**(-1),56.78
2.777*10**(-1),60.58
3.073*10**(-1),64.38
3.385*10**(-1),68.19
3.713*10**(-1),72
4.054*10**(-1),75.81
0.696,87.99
1.15,108.4
1.473,119.7
1.88,131.9
2.392,144.8
3.028,158.7
